"Notes","State of Residence","State of Residence Code","Marital Status","Marital Status Code",Births
,"North Dakota","38","Unknown or Not Stated","9",0
,"North Dakota","38","Not Reported","NR",Suppressed
,"Ohio","39","Married","1",73858
,"Ohio","39","Unmarried","2",52927
,"Ohio","39","Unknown or Not Stated","9",0
,"Ohio","39","Not Reported","NR",10
,"Oklahoma","40","Married","1",26611
,"Oklahoma","40","Unmarried","2",21338
,"Oklahoma","40","Unknown or Not Stated","9",0
,"Oklahoma","40","Not Reported","NR",13
,"Oregon","41","Married","1",24440
,"Oregon","41","Unmarried","2",14461
,"Oregon","41","Unknown or Not Stated","9",0
,"Oregon","41","Not Reported","NR",62
,"Pennsylvania","42","Married","1",78562
,"Pennsylvania","42","Unmarried","2",48727
,"Pennsylvania","42","Unknown or Not Stated","9",0
,"Pennsylvania","42","Not Reported","NR",10
,"Rhode Island","44","Married","1",5858
,"Rhode Island","44","Unmarried","2",4147
,"Rhode Island","44","Unknown or Not Stated","9",0
,"Rhode Island","44","Not Reported","NR",Suppressed
,"South Carolina","45","Married","1",32555
,"South Carolina","45","Unmarried","2",26207
,"South Carolina","45","Unknown or Not Stated","9",0
,"South Carolina","45","Not Reported","NR",Suppressed
,"South Dakota","46","Married","1",7407
,"South Dakota","46","Unmarried","2",4041
,"South Dakota","46","Unknown or Not Stated","9",0
,"South Dakota","46","Not Reported","NR",Suppressed
,"Tennessee","47","Married","1",48808
,"Tennessee","47","Unmarried","2",35009
,"Tennessee","47","Unknown or Not Stated","9",0
,"Tennessee","47","Not Reported","NR",16
,"Texas","48","Married","1",229553
,"Texas","48","Unmarried","2",161189
,"Texas","48","Unknown or Not Stated","9",0
,"Texas","48","Not Reported","NR",86
,"Utah","49","Married","1",36336
,"Utah","49","Unmarried","2",10313
,"Utah","49","Unknown or Not Stated","9",0
,"Utah","49","Not Reported","NR",15
,"Vermont","50","Married","1",3147
,"Vermont","50","Unmarried","2",1876
,"Vermont","50","Unknown or Not Stated","9",0
,"Vermont","50","Not Reported","NR",0
,"Virginia","51","Married","1",61034
,"Virginia","51","Unmarried","2",33005
,"Virginia","51","Unknown or Not Stated","9",0
,"Virginia","51","Not Reported","NR",15
,"Washington","53","Married","1",56854
,"Washington","53","Unmarried","2",26210
,"Washington","53","Unknown or Not Stated","9",0
,"Washington","53","Not Reported","NR",54
,"West Virginia","54","Married","1",9545
,"West Virginia","54","Unmarried","2",7474
,"West Virginia","54","Unknown or Not Stated","9",0
,"West Virginia","54","Not Reported","NR",Suppressed
,"Wisconsin","55","Married","1",37769
,"Wisconsin","55","Unmarried","2",21912
,"Wisconsin","55","Unknown or Not Stated","9",0
,"Wisconsin","55","Not Reported","NR",Suppressed
,"Wyoming","56","Married","1",4042
,"Wyoming","56","Unmarried","2",2043
,"Wyoming","56","Unknown or Not Stated","9",0
,"Wyoming","56","Not Reported","NR",Suppressed
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2024"
"Group By: State of Residence; Marital Status"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 16, 2026 2:54:00 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 16, 2026 2:54:00 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
"3. Beginning in 2017, due to state statutory restrictions, California no longer provides record-level data on the marital status"
"of the mother for births occurring in California to California residents and non-residents (including residents of other"
"states). For these births, ""Marital Status"" is coded as ""Not Reported""."
